Channel_name,Antibody Name,Target Protein,Vendor,Catalog no,Clone,Fluorophore,,,,,,
FITC_1,Anti-Rabbit ,Rabbit IgG,ThermoFisher,A-11070,Polyclonal,Alexa Fluor 488,,,,,,
Cy3_1,Anti-Goat,Goat IgG,ThermoFisher,A-21432,Polyclonal,Alexa Fluor 555,,,,,,
Cy5_1,Anti-Mouse,Mouse IgG,ThermoFisher,A-21237,Polyclonal,Alexa Fluor 647,,,,,,
FITC_2,anti-pErk ,pErk ,CST,4370,D13.14.4E,N/D,,,,,,
Cy3_2,anti-pRb,pRb,Santa Cruz,SC-16670,Polyclonal,N/D,,,,,,
Cy5_2,anti-MITF,MITF,Abcam,AB3201,D5,N/D,,,,,,
FITC_3,PCNA-488,PCNA,CST,8580,PC10,Alexa Fluor 488,,,,,,
Cy3_3,Vimentin-555,Vimentin,CST,9855,D21H3,Alexa Fluor 555,,,,,,
Cy5_3,Tubulin-647,Tubulin,CST,3624,9F3,Alexa Fluor 647,,,,,,
FITC_4,pErk-488,pErk,CST,4344,D13.14.4E,Alexa Fluor 488,,,,,,
Cy3_4,pH3-555 ,pH3,CST,3475,D2C8,Alexa Fluor 555,,,,,,
Cy5_4,HLAA-647,HLAA,Abcam,AB199837,EP1395Y,Alexa Fluor 647,,,,,,
FITC_5,MITF-488 ,MITF,Abcam,AB201675,D5,Alexa Fluor 488,,,,,,
Cy3_5,CD3-555,CD3,Abcam,AB208514,EP4426,Alexa Fluor 555,,,,,,
Cy5_5,CD8a-660,CD8a,eBioscience,50-0008-82,AMC908,eFluor 660,,,,,,
FITC_6,EGFR-488,EGFR,CST,5616,D38B1,Alexa Fluor 488,,,,,,
Cy3_6,E2F1-555,E2F1,Abcam,AB208078,EPR3818(3),Alexa Fluor 555,,,,,,
Cy5_6,H2AX-647,H2AX,BioLegend,613408,2F3,Alexa Fluor 647,,,,,,
FITC_7,PCNA-488,PCNA,CST,8580,PC10,Alexa Fluor 488,,,,,,
Cy3_7,Vimentin-555,Vimentin,CST,9855,D21H3,Alexa Fluor 555,,,,,,
Cy5_7,Tubulin-647,Tubulin,CST,3624,9F3,Alexa Fluor 647,,,,,,
FITC_8,cJUN-488,cJUN,Abcam,AB193780,E254,Alexa Fluor 488,,,,,,
Cy3_8,pRb-555,pRb,CST,8957,D20B12,Alexa Fluor 555,,,,,,
Cy5_8,NGFR-647 ,NGFR,Abcam,AB195180,EP1039Y,Alexa Fluor 647,,,,,,
FITC_9,E-Cad-488 ,E-Cad,CST,3199,24E10,Alexa Fluor 488,,,,,,
Cy3_9,CD11b-555,CD11b,Abcam,AB206616,EPR1344,Alexa Fluor 555,,,,,,
Cy5_9,Catenin-647,Catenin,CST,4627,L54E2,Alexa Fluor 647,,,,,,
FITC_10,CD4-488 ,CD4,R&D,FAB8165G,Polyclonal,Alexa Fluor 488,,,,,,
Cy3_10,CD45-PE,CD45,R&D,FAB1430P,2D1,PE,,,,,,
Cy5_10,PDL1-647,PDL1,CST,15005,E1L3N,Alexa Fluor 647,,,,,,
FITC_11,Ki67-488,Ki67,CST,11882,D3B5,Alexa Fluor 488,,,,,,
Cy3_11,cMyc-555,cMyc,Abcam,AB201780,Y69,Alexa Fluor 555,,,,,,
Cy5_11,pStat3-647,pStat3,CST,4324,D3A7,Alexa Fluor 647,,,,,,
FITC_12,PCNA-488,PCNA,CST,8580,PC10,Alexa Fluor 488,,,,,,
Cy3_12,Vimentin-555 ,Vimentin,CST,9855,D21H3,Alexa Fluor 555,,,,,,
Cy5_12,Tubulin-647,Tubulin,CST,3624,9F3,Alexa Fluor 647,,,,,,
FITC_13,pS6-488,pS6,CST,4803,D57.2.2E,Alexa Fluor 488,,,,,,
Cy3_13,Cytokeratin-570,Cytokeratin,eBioscience,41-9003-80,AE1/AE3,eFluor 570,,,,,,
Cy5_13,HES1-647 ,HES1,Abcam,AB196577,EPR4226,Alexa Fluor 647,,,,,,
FITC_14,S100?-488,S100?,Abcam,ab207367,EPR5251,Alexa Fluor 488,,,,,,
Cy3_14,VEGFR2-PE,VEGFR2,CST,12634,D5B1,PE,,,,,,
Cy5_14,?SMA-660,?SMA,eBioscience,50-9760-80,1A4,eFluor 660,,,,,,
FITC_15,CD45RO-488,CD45RO,BioLegend,304212,UCHL1,Alexa Fluor 488,,,,,,
Cy3_15,FOXP3-570 ,FOXP3,eBioscience,41-4777-82,236A/E7,eFluor 570,,,,,,
Cy5_15,PD1-647 ,PD1,Abcam,AB201825,EPR4877 (2),Alexa Fluor 647,,,,,,
FITC_16,PCNA-488,PCNA,CST,8580,PC10,Alexa Fluor 488,,,,,,
Cy3_16,Vimentin-555 ,Vimentin ,CST,9855,D21H3,Alexa Fluor 555,,,,,,
Cy5_16,Tubulin-647,Tubulin,CST,3624,9F3,Alexa Fluor 647,,,,,,
